"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2021","2,031.25","2,025.25","2,035.25","2,023.25","-","-0.20%"
"Jan 06, 2021","2,035.25","2,027.50","2,040.25","2,024.80","-","-0.25%"
"Jan 05, 2021","2,040.25","2,047.50","2,049.25","2,031.63","-","0.39%"
"Jan 04, 2021","2,032.25","2,025.50","2,032.75","1,979.00","-","2.69%"
"Dec 31, 2020","1,979.00","1,992.62","2,003.12","1,981.87","-","-1.20%"
"Dec 30, 2020","2,003.12","1,999.75","2,002.00","1,992.50","-","0.53%"
"Dec 29, 2020","1,992.50","1,989.50","2,031.00","1,983.75","-","-1.90%"
"Dec 24, 2020","2,031.00","2,021.65","2,023.90","2,003.15","-","1.39%"
"Dec 23, 2020","2,003.15","1,991.75","2,021.38","1,964.00","0.30K","0.80%"
"Dec 22, 2020","1,987.25","1,991.75","2,014.00","1,985.25","-","-1.33%"
"Dec 21, 2020","2,014.00","2,021.13","2,051.13","2,019.00","0.15K","-1.78%"
"Dec 18, 2020","2,050.50","2,005.00","2,050.50","2,002.00","-","0.20%"
"Dec 17, 2020","2,046.50","2,055.50","2,068.25","2,029.75","1.35K","0.83%"
"Dec 16, 2020","2,029.75","2,023.63","2,026.65","2,017.65","0.16K","0.36%"
"Dec 15, 2020","2,022.40","2,023.13","2,041.85","2,018.13","-","-0.95%"
"Dec 14, 2020","2,041.85","2,031.40","2,033.90","2,007.40","-","1.72%"
"Dec 11, 2020","2,007.40","2,013.49","2,048.49","2,010.49","-","-2.01%"
"Dec 10, 2020","2,048.49","2,042.50","2,045.50","2,024.50","-","1.18%"
"Dec 09, 2020","2,024.50","2,022.63","2,023.50","1,973.25","-","2.60%"
"Dec 08, 2020","1,973.25","1,982.50","2,001.75","1,977.68","-","-1.34%"
"Dec 07, 2020","2,000.03","2,001.75","2,034.85","1,997.75","-","-1.71%"
"Dec 04, 2020","2,034.85","2,036.50","2,040.00","2,019.50","-","0.66%"
"Dec 03, 2020","2,021.50","2,013.50","2,049.65","2,008.00","-","-1.37%"
"Dec 02, 2020","2,049.65","2,060.25","2,061.00","2,037.75","-","-0.55%"
"Dec 01, 2020","2,061.00","2,055.38","2,062.78","2,041.63","0.33K","0.92%"
"Nov 30, 2020","2,042.25","1,995.88","2,041.38","1,994.00","0.61K","2.42%"
"Nov 27, 2020","1,994.00","1,989.50","1,991.00","1,967.25","-","1.36%"
"Nov 26, 2020","1,967.25","1,961.25","1,970.25","1,961.25","-","0.29%"
"Nov 25, 2020","1,961.50","1,963.50","1,980.00","1,959.75","-","-0.93%"
"Nov 24, 2020","1,980.00","1,981.50","1,982.00","1,966.50","-","0.69%"
"Nov 23, 2020","1,966.50","1,988.00","1,988.00","1,962.25","-","-1.08%"
"Nov 20, 2020","1,988.00","1,988.10","1,988.10","1,981.85","-","-0.01%"
"Nov 19, 2020","1,988.10","1,987.75","1,994.50","1,970.00","0.30K","-0.26%"
"Nov 18, 2020","1,993.25","1,987.75","1,991.40","1,970.00","-","1.18%"
"Nov 17, 2020","1,970.00","1,960.25","1,966.00","1,936.00","-","1.34%"
"Nov 16, 2020","1,944.00","1,938.50","1,939.50","1,916.50","-","1.43%"
"Nov 13, 2020","1,916.50","1,919.55","1,919.55","1,913.00","-","0.18%"
"Nov 12, 2020","1,913.00","1,909.50","1,912.25","1,901.00","-","0.63%"
"Nov 11, 2020","1,901.00","1,899.05","1,902.43","1,890.80","-","0.54%"
"Nov 10, 2020","1,890.80","1,897.00","1,897.75","1,878.00","-","0.68%"
"Nov 09, 2020","1,878.00","1,888.00","1,889.00","1,884.38","-","-0.57%"
"Nov 06, 2020","1,888.75","1,889.35","1,893.60","1,887.35","-","0.07%"
"Nov 05, 2020","1,887.35","1,884.00","1,904.50","1,882.25","-","-0.90%"
"Nov 04, 2020","1,904.50","1,903.74","1,910.00","1,902.25","-","-0.17%"
"Nov 03, 2020","1,907.75","1,899.25","1,902.88","1,866.50","-","2.01%"
"Nov 02, 2020","1,870.25","1,876.75","1,878.75","1,853.50","-","0.90%"
"Oct 30, 2020","1,853.50","1,851.50","1,853.13","1,804.75","-","2.70%"
"Oct 29, 2020","1,804.75","1,799.75","1,804.25","1,794.18","-","0.03%"
"Oct 28, 2020","1,804.25","1,807.00","1,818.00","1,801.20","-","-0.48%"
"Oct 27, 2020","1,813.00","1,813.31","1,819.56","1,806.80","-","-0.36%"
"Oct 26, 2020","1,819.56","1,816.95","1,836.95","1,816.20","-","-0.95%"
"Oct 23, 2020","1,836.95","1,836.50","1,840.25","1,834.38","-","-0.18%"
"Oct 22, 2020","1,840.25","1,837.50","1,837.88","1,835.38","-","0.15%"
"Oct 21, 2020","1,837.50","1,834.83","1,840.18","1,823.25","-","0.78%"
"Oct 20, 2020","1,823.25","1,841.20","1,841.20","1,821.83","-","-0.97%"
"Oct 19, 2020","1,841.20","1,833.75","1,861.00","1,832.50","-","-0.96%"
"Oct 16, 2020","1,859.00","1,852.75","1,855.00","1,840.75","-","0.99%"
"Oct 15, 2020","1,840.75","1,837.25","1,837.25","1,833.00","-","0.19%"
"Oct 14, 2020","1,837.25","1,835.49","1,845.50","1,833.25","-","-0.45%"
"Oct 13, 2020","1,845.50","1,842.00","1,843.75","1,841.50","-","0.09%"
"Oct 12, 2020","1,843.75","1,843.00","1,843.25","1,828.50","-","0.83%"
"Oct 09, 2020","1,828.50","1,833.50","1,833.50","1,789.75","-","2.17%"
"Oct 08, 2020","1,789.75","1,765.50","1,786.38","1,765.50","-","1.37%"
"Oct 07, 2020","1,765.50","1,766.50","1,766.50","1,745.00","-","1.17%"
"Oct 06, 2020","1,745.00","1,752.75","1,762.75","1,748.06","-","-0.44%"
"Oct 05, 2020","1,752.75","1,753.50","1,753.50","1,741.75","-","0.63%"
"Oct 02, 2020","1,741.75","1,732.00","1,736.63","1,711.75","-","1.75%"
"Oct 01, 2020","1,711.75","1,737.75","1,739.75","1,709.75","-","-1.61%"
"Sep 30, 2020","1,739.75","1,741.50","1,759.00","1,739.50","-","-1.09%"
"Sep 29, 2020","1,759.00","1,752.75","1,754.50","1,752.75","-","0.36%"
"Sep 28, 2020","1,752.75","1,760.99","1,761.74","1,725.00","-","1.61%"
"Sep 25, 2020","1,725.00","1,736.01","1,737.26","1,715.50","-","0.55%"
"Sep 24, 2020","1,715.50","1,729.36","1,729.36","1,713.78","-","-0.80%"
"Sep 23, 2020","1,729.36","1,731.63","1,751.55","1,730.13","-","-1.27%"
"Sep 22, 2020","1,751.55","1,754.00","1,758.50","1,753.00","-","-0.18%"
"Sep 21, 2020","1,754.75","1,756.00","1,768.75","1,755.75","-","-0.79%"
"Sep 18, 2020","1,768.75","1,771.51","1,772.26","1,757.00","-","0.67%"
"Sep 17, 2020","1,757.00","1,772.35","1,772.35","1,772.35","-","-0.87%"
"Sep 16, 2020","1,772.35","1,751.76","1,754.51","1,750.76","-","0.33%"
"Sep 15, 2020","1,766.50","1,755.01","1,761.76","1,754.76","-","-0.65%"
"Sep 14, 2020","1,778.01","1,764.56","1,764.81","1,737.50","-","2.33%"
"Sep 11, 2020","1,737.50","1,738.25","1,752.90","1,737.75","-","-0.88%"
"Sep 10, 2020","1,752.90","1,743.51","1,752.65","1,742.01","-","0.29%"
"Sep 09, 2020","1,747.90","1,757.10","1,757.10","1,748.09","-","-0.52%"
"Sep 08, 2020","1,757.10","1,763.62","1,763.62","1,752.87","-","-0.37%"
"Sep 07, 2020","1,763.62","1,763.50","1,765.00","1,763.50","-","0.49%"
"Sep 04, 2020","1,755.00","1,759.88","1,760.55","1,749.55","-","0.31%"
"Sep 03, 2020","1,749.55","1,746.76","1,755.85","1,746.76","-","-0.36%"
"Sep 02, 2020","1,755.85","1,788.00","1,788.00","1,761.65","-","-1.80%"
"Sep 01, 2020","1,788.00","1,771.50","1,789.50","1,771.50","-","0.93%"
"Aug 28, 2020","1,771.50","1,772.51","1,773.01","1,751.25","-","1.21%"
"Aug 27, 2020","1,750.25","1,750.25","1,750.25","1,746.13","-","0.00%"
"Aug 26, 2020","1,750.25","1,747.38","1,752.28","1,745.38","-","0.24%"
"Aug 25, 2020","1,746.00","1,747.95","1,749.61","1,741.86","-","0.24%"
"Aug 24, 2020","1,741.86","1,741.87","1,744.50","1,737.62","-","-1.23%"
